,Unnamed: 0,profile,item,rating
117,117,586,2,3
118,118,586,6,3
119,119,586,7,2
120,120,586,9,3
121,121,586,10,1
122,122,586,5,1
123,123,473,9,2
124,124,473,6,3
125,125,473,10,2
126,126,473,11,3
127,127,473,2,3
128,128,460,9,1
129,129,460,2,1
130,130,151,1,3
131,131,151,2,3
132,132,151,6,3
133,133,151,8,2
134,134,151,9,2
135,135,151,10,2
136,136,151,11,2
137,137,247,9,3
138,138,247,11,4
139,139,247,4,2
140,140,247,6,3
141,141,247,2,3
142,142,625,9,1
143,143,625,6,3
144,144,625,1,1
145,145,625,10,3
146,146,625,2,4
147,147,449,6,3
148,148,449,1,2
149,149,449,8,2
150,150,449,2,3
151,151,417,1,2
152,152,417,2,3
153,153,417,4,2
154,154,417,6,2
155,155,417,7,3
156,156,417,5,3
157,157,388,6,4
158,158,388,10,1
159,159,388,2,3
160,160,11,1,3
161,161,11,2,2
162,162,11,6,2
163,163,11,8,2
164,164,11,9,3
165,165,11,10,1
166,166,11,11,2
167,167,373,10,3
168,168,373,6,2
169,169,373,1,1
170,170,373,2,2
171,171,251,1,1
172,172,251,2,2
173,173,251,6,2
174,174,251,9,2
175,175,251,10,1
176,176,251,11,2
177,177,331,7,3
178,178,331,6,3
179,179,331,1,2
180,180,331,2,3
181,181,331,5,1
182,182,98,9,1
183,183,98,6,2
184,184,98,1,1
185,185,98,2,2
186,186,324,0,3
187,187,324,2,3
188,188,324,4,3
189,189,324,6,3
190,190,324,9,3
191,191,324,11,3
192,192,320,10,2
193,193,320,6,3
194,194,320,7,2
195,195,320,2,4
196,196,562,9,2
197,197,562,11,2
198,198,562,4,1
199,199,562,6,2
200,200,562,2,2
201,201,264,9,2
202,202,264,11,2
203,203,264,6,3
204,204,264,8,1
205,205,264,2,3
206,206,75,9,1
207,207,75,6,1
208,208,75,2,1
209,209,134,9,1
210,210,134,6,1
211,211,134,2,2
212,212,159,9,2
213,213,159,6,2
214,214,159,2,2
215,215,561,0,2
216,216,561,6,2
217,217,561,10,1
218,218,561,2,2
219,219,171,9,1
220,220,171,6,1
221,221,171,2,1
222,222,536,9,1
223,223,536,6,1
224,224,536,10,2
225,225,536,2,1
226,226,117,2,3
227,227,117,6,2
228,228,117,7,1
229,229,117,11,2
230,230,117,9,1
231,231,117,5,1
232,232,249,10,2
233,233,249,6,3
234,234,249,1,2
235,235,249,2,3
236,236,9,1,2
237,237,9,2,3
238,238,9,6,3
239,239,9,8,2
240,240,9,10,2
241,241,9,5,2
242,242,527,9,1
243,243,527,6,2
244,244,527,10,1
245,245,527,2,2
246,246,570,10,1
247,247,570,6,2
248,248,570,7,1
249,249,570,2,2
250,250,124,6,3
251,251,124,2,3
252,252,241,3,1
253,253,241,9,1
254,254,241,6,3
255,255,241,10,1
256,256,241,2,2
257,257,283,6,2
258,258,283,10,2
259,259,283,2,2
260,260,545,9,2
261,261,545,6,3
262,262,545,11,3
263,263,545,2,3
264,264,463,1,2
265,265,463,2,3
266,266,463,6,3
267,267,463,9,2
268,268,463,10,1
269,269,463,11,2
270,270,271,6,2
271,271,271,10,3
272,272,271,2,2
273,273,380,6,2
274,274,380,2,2
275,275,380,5,1
276,276,1,9,2
277,277,1,6,2
278,278,1,10,2
279,279,1,2,2
280,280,197,6,3
281,281,197,7,1
282,282,197,2,3
283,283,404,9,1
284,284,404,6,1
285,285,404,2,1
286,286,58,10,1
287,287,58,6,1
288,288,58,7,1
289,289,58,2,1
290,290,191,6,3
291,291,191,4,3
292,292,191,7,3
293,293,191,8,2
294,294,191,2,3
295,295,189,6,2
296,296,189,2,2
297,297,391,9,2
298,298,391,6,3
299,299,391,7,1
300,300,391,11,2
301,301,391,2,3
302,302,351,9,2
303,303,351,6,3
304,304,351,2,3
305,305,584,2,2
306,306,584,4,2
307,307,584,6,2
308,308,584,7,3
309,309,584,10,1
310,310,584,5,2
311,311,289,9,2
312,312,289,6,2
313,313,289,10,2
314,314,289,2,3
315,315,431,6,2
316,316,431,10,1
317,317,431,2,2
